1334647784,天份
417859631,我好像在哪见过你 - (电影《精灵王座》主题曲)
32507038,演员
557583281,哑巴
471385043,暧昧
27890306,意外
415792881,刚刚好
32192436,绅士
516657051,像风一样
27955653,你还要我怎样
557581967,肆无忌惮
468517654,动物世界
1294910785,最好
169185,认真的雪
27955654,其实
27955658,方圆几里 - (微电影《最熟悉的陌生人》主题曲)
571340283,那是你离开了北京的生活
574921549,怪咖
27808044,丑八怪
35528482,一半
32507039,下雨了
515803379,别
474567044,我害怕
466122271,高尚
553543014,摩天大楼
525241230,狐狸 - (电影《二代妖精之今生有幸》推广曲)
412902689,初学者
518894283,骆驼
27955656,有没有
27955652,等我回家
169137,我知道你都知道 - (电视剧《胜女的代价》插曲)
33071053,为了遇见你
169140,几个你 - (电视剧《胜女的代价》插曲)
520458481,背过手
429450375,来日方长 - (电影《我不是潘金莲》方圆版推广曲)
443277013,火星人来过
517571371,渡
421160838,花儿和少年
35288183,小孩
27955655,我想起你了
169152,未完成的歌
418603445,重返十七岁(新版) - (《我去上学啦》第二季主题曲)
169142,伏笔
169188,爱我的人 谢谢你
169144,我终于成了别人的女人
169198,传说
27955651,潮流季
421148955,Stay Here
26600199,我们爱过就好 - (电影《音乐江湖》主题曲)
169200,深深爱过你(前世)
551816010,我们 - (电影《后来的我们》主题曲)
25906124,不要说话
65533,红玫瑰
65538,好久不见
65528,淘汰
65766,富士山下
28563317,阴天快乐
65536,爱情转移 - (电影《爱情呼叫转移》主题曲)
65800,最佳损友
66282,浮夸
28481818,可以了
28481103,你给我听好
64634,一丝不挂
64093,孤独患者
25730757,稳稳的幸福 - (电影《越来越好之村晚》主题曲)
64293,苦瓜
27867449,倾城
64317,因为爱情 - (电影《将爱情进行到底》主题曲)
65923,人来人往 (Live)
66285,葡萄成熟时
65761,白玫瑰
64126,内疚
64797,于心有愧
31877628,十年(Live)
64922,落花流水
64443,约定(Live)
64561,单车(Live) - live
64048,完
186331,最冷一天
27483204,斯德哥尔摩情人
64833,沙龙
25638273,梦想天空分外蓝
27483203,失忆蝴蝶
67572,婚礼的祝福
64638,陀飞轮
65758,裙下之臣
35403523,陪你度过漫长岁月 - (电影《陪安东尼度过漫长岁月》主题曲)
64625,无人之境
65312,明年今日 - 2007 Live
65769,不如不见
438801672,让我留在你身边 - (电影《摆渡人》爱情版主题曲)
65904,十面埋伏 (Live)
66272,夕阳无限好
437802725,四季
5251209,承诺(香港版)
36539010,Sleep Alone - (电影《陪安东尼度过漫长岁月》英文主题曲)
65546,白色球鞋
64699,心的距离
64677,多少
28563314,时光隧道
554242032,飞云之下
108138,那些你很冒险的梦
29814898,可惜没如果 - (If Only…)
108478,醉赤壁 - (网游《赤壁Online》主题曲)
108914,江南
108242,她说
108251,当你
25727803,修炼爱情
108418,背对背拥抱
108245,爱笑的眼睛
108493,我还想她
108485,Always Online
108468,小酒窝
108886,一千年以后
108931,美人鱼
37196629,不为谁而作的歌
108463,不潮不用花钱
108134,学不会
108269,记得
108795,曹操
108503,期待爱
29848657,手心的蔷薇 - (Beautiful)
29850685,生生 - (The Beacon)
34040694,期待你的爱 - (电视剧《最佳前男友》片头曲)
108543,杀手
108248,只对你有感觉
25794009,裂缝中的阳光
247579,被风吹过的夏天 - (电视剧《最佳前男友》插曲)
108910,豆浆油条
25794008,黑暗骑士
108263,心墙
108254,一眼万年
417833348,超越无限 - (Infinity and Beyond)
108267,一生的爱
108265,我很想爱他
108965,冻结
108806,原来
108428,爱不会绝迹 - (动画片《恐龙宝贝》主题曲)
108401,第几个一百天
25729074,因你而在
108827,你要的不是我 - (电视剧《爱情闯进门》插曲)
108260,握不住的他
